Rule_ID,Rule_Name,Precision,Recall,F1_Score,Support
8,DL3007,1.0,1.0,1.0,500
7,DL3006,0.9960159362549801,1.0,0.998003992015968,500
1,DL3000,0.995260663507109,1.0,0.997624703087886,210
38,DL4000,0.9920634920634921,1.0,0.9960159362549801,500
3,DL3002,0.9910313901345291,1.0,0.9954954954954955,221
34,DL3048,0.9903147699757869,1.0,0.9951338199513382,409
18,DL3020,0.9881422924901185,1.0,0.9940357852882704,500
21,DL3025,0.9880239520958084,0.99,0.989010989010989,500
31,DL3045,0.9854771784232366,0.981404958677686,0.9834368530020704,484
11,DL3010,1.0,0.9666666666666667,0.9830508474576272,30
20,DL3022,0.961038961038961,0.9932885906040269,0.976897689768977,149
0,DL1000,0.9724770642201835,0.9380530973451328,0.954954954954955,113
19,DL3021,0.9,0.972972972972973,0.935064935064935,37
48,SC2015,0.8511166253101737,0.9449035812672176,0.8955613577023499,363
36,DL3060,0.9090909090909091,0.8536585365853658,0.8805031446540881,82
22,DL3027,0.92,0.8305555555555556,0.872992700729927,360
54,SC2043,0.777027027027027,0.92,0.8424908424908425,500
49,SC2016,0.8551401869158879,0.8061674008810573,0.8299319727891157,227
2,DL3001,0.8709677419354839,0.782608695652174,0.8244274809160306,69
41,DL4005,0.9393939393939394,0.7209302325581395,0.8157894736842105,43
59,SC2164,0.7896825396825397,0.8155737704918032,0.8024193548387096,244
32,DL3046,0.9056603773584906,0.7164179104477612,0.8,67
15,DL3016,0.7456445993031359,0.856,0.7970204841713222,500
45,SC1091,0.7886178861788617,0.7698412698412699,0.7791164658634538,126
23,DL3028,0.9209039548022598,0.6707818930041153,0.7761904761904762,243
29,DL3041,0.8053097345132744,0.7459016393442623,0.774468085106383,244
40,DL4003,0.6857142857142857,0.8275862068965517,0.75,29
60,SC2226,0.8421052631578947,0.6666666666666666,0.7441860465116279,24
44,SC1083,1.0,0.5714285714285714,0.7272727272727273,21
50,SC2028,0.6740506329113924,0.7717391304347826,0.7195945945945946,276
17,DL3019,0.6276276276276276,0.836,0.7169811320754716,500
46,SC2002,0.7407407407407407,0.6896551724137931,0.7142857142857143,29
35,DL3059,0.9142857142857143,0.576,0.7067484662576687,500
5,DL3004,0.8834355828220859,0.576,0.6973365617433414,500
62,SC3037,0.8032786885245902,0.5697674418604651,0.6666666666666666,86
12,DL3013,0.5679886685552408,0.802,0.6650082918739635,500
43,SC1001,0.5683453237410072,0.797979797979798,0.6638655462184874,99
57,SC2102,0.6578947368421053,0.6578947368421053,0.6578947368421053,38
24,DL3032,0.6820175438596491,0.622,0.6506276150627615,500
13,DL3014,0.6810344827586207,0.6076923076923076,0.6422764227642277,130
47,SC2006,0.6646341463414634,0.6193181818181818,0.6411764705882353,176
28,DL3040,0.5853658536585366,0.6990291262135923,0.6371681415929203,103
25,DL3033,0.6028880866425993,0.668,0.6337760910815939,500
51,SC2034,0.5769230769230769,0.6818181818181818,0.625,22
55,SC2046,0.6222222222222222,0.616,0.6190954773869347,500
61,SC3009,0.8055555555555556,0.5,0.6170212765957447,58
33,DL3047,0.5678571428571428,0.636,0.6,500
52,SC2035,0.7848101265822784,0.4492753623188406,0.5714285714285714,138
37,DL3061,0.8936170212765957,0.40384615384615385,0.5562913907284768,104
26,DL3036,0.4745762711864407,0.6511627906976745,0.5490196078431373,43
10,DL3009,0.433849821215733,0.728,0.5436893203883495,500
6,DL3005,0.6266666666666667,0.4563106796116505,0.5280898876404494,103
16,DL3018,0.6847826086956522,0.378,0.48711340206185566,500
58,SC2155,0.32286995515695066,0.8834355828220859,0.4729064039408867,163
27,DL3037,0.5833333333333334,0.39622641509433965,0.47191011235955055,53
14,DL3015,0.45436893203883494,0.468,0.46108374384236456,500
53,SC2038,0.6363636363636364,0.35,0.45161290322580644,20
56,SC2086,0.4012539184952978,0.512,0.44991212653778556,500
30,DL3042,0.7333333333333333,0.308,0.43380281690140843,500
39,DL4001,0.45987654320987653,0.37817258883248733,0.415041782729805,394
4,DL3003,0.3237410071942446,0.45,0.37656903765690375,500
42,DL4006,0.5787234042553191,0.272,0.37006802721088433,500
9,DL3008,0.27297297297297296,0.202,0.23218390804597702,500
