Rule_ID,Rule_Name,Precision,Recall,F1_Score,Support
8,DL3007,1.0,1.0,1.0,500
7,DL3006,0.998003992015968,1.0,0.999000999000999,500
1,DL3000,0.995260663507109,1.0,0.997624703087886,210
38,DL4000,0.9920634920634921,1.0,0.9960159362549801,500
34,DL3048,0.9903147699757869,1.0,0.9951338199513382,409
3,DL3002,0.9866071428571429,1.0,0.9932584269662922,221
18,DL3020,0.9861932938856016,1.0,0.9930486593843099,500
21,DL3025,0.9860834990059643,0.992,0.9890329012961117,500
31,DL3045,0.9875,0.9793388429752066,0.983402489626556,484
11,DL3010,1.0,0.9666666666666667,0.9830508474576272,30
20,DL3022,0.9551282051282052,1.0,0.9770491803278688,149
0,DL1000,0.9724770642201835,0.9380530973451328,0.954954954954955,113
19,DL3021,0.9,0.972972972972973,0.935064935064935,37
48,SC2015,0.8611111111111112,0.9393939393939394,0.8985507246376812,363
36,DL3060,0.9102564102564102,0.8658536585365854,0.8875,82
22,DL3027,0.93125,0.8277777777777777,0.8764705882352941,360
54,SC2043,0.7783417935702199,0.92,0.843263061411549,500
49,SC2016,0.8544600938967136,0.801762114537445,0.8272727272727273,227
2,DL3001,0.9122807017543859,0.7536231884057971,0.8253968253968254,69
41,DL4005,0.9393939393939394,0.7209302325581395,0.8157894736842105,43
59,SC2164,0.796,0.8155737704918032,0.805668016194332,244
32,DL3046,0.9038461538461539,0.7014925373134329,0.7899159663865546,67
23,DL3028,0.9081081081081082,0.691358024691358,0.7850467289719626,243
15,DL3016,0.717607973421927,0.864,0.7840290381125227,500
29,DL3041,0.7540322580645161,0.7663934426229508,0.7601626016260162,244
45,SC1091,0.76,0.753968253968254,0.7569721115537849,126
44,SC1083,0.9285714285714286,0.6190476190476191,0.7428571428571429,21
40,DL4003,0.696969696969697,0.7931034482758621,0.7419354838709677,29
43,SC1001,0.7064220183486238,0.7777777777777778,0.7403846153846154,99
17,DL3019,0.6494522691705791,0.83,0.7287093942054433,500
60,SC2226,0.8,0.6666666666666666,0.7272727272727273,24
35,DL3059,0.910828025477707,0.572,0.7027027027027027,500
50,SC2028,0.6521739130434783,0.7608695652173914,0.7023411371237458,276
5,DL3004,0.878419452887538,0.578,0.6972255729794934,500
57,SC2102,0.6585365853658537,0.7105263157894737,0.6835443037974683,38
24,DL3032,0.6429840142095915,0.724,0.6810912511759172,500
62,SC3037,0.8064516129032258,0.5813953488372093,0.6756756756756757,86
27,DL3037,0.5357142857142857,0.8490566037735849,0.656934306569343,53
47,SC2006,0.6942675159235668,0.6193181818181818,0.6546546546546547,176
12,DL3013,0.5686567164179105,0.762,0.6512820512820513,500
51,SC2034,0.5714285714285714,0.7272727272727273,0.64,22
55,SC2046,0.6209677419354839,0.616,0.6184738955823293,500
61,SC3009,0.8484848484848485,0.4827586206896552,0.6153846153846154,58
13,DL3014,0.5827338129496403,0.6230769230769231,0.6022304832713755,130
46,SC2002,0.64,0.5517241379310345,0.5925925925925926,29
33,DL3047,0.5378151260504201,0.64,0.5844748858447488,500
25,DL3033,0.6139954853273137,0.544,0.5768822905620361,500
52,SC2035,0.8051948051948052,0.4492753623188406,0.5767441860465117,138
37,DL3061,0.9302325581395349,0.38461538461538464,0.54421768707483,104
10,DL3009,0.4365175332527207,0.722,0.5440844009042954,500
28,DL3040,0.5578947368421052,0.5145631067961165,0.5353535353535354,103
6,DL3005,0.6567164179104478,0.42718446601941745,0.5176470588235295,103
16,DL3018,0.6863468634686347,0.372,0.48249027237354086,500
58,SC2155,0.3165938864628821,0.8895705521472392,0.4669887278582931,163
14,DL3015,0.43782837127845886,0.5,0.4668534080298786,500
56,SC2086,0.3916913946587537,0.528,0.4497444633730835,500
30,DL3042,0.7030567685589519,0.322,0.44170096021947874,500
53,SC2038,0.5833333333333334,0.35,0.4375,20
39,DL4001,0.47959183673469385,0.35786802030456855,0.40988372093023256,394
42,DL4006,0.6238532110091743,0.272,0.3788300835654596,500
4,DL3003,0.3284241531664212,0.446,0.3782866836301951,500
9,DL3008,0.281767955801105,0.204,0.23665893271461716,500
26,DL3036,0.3,0.06976744186046512,0.11320754716981132,43
